path_idx,path_hops,relation_seq,weight_mean,weight_std,weight_min,weight_max
7,2,drug_protein | disease_protein,0.015069251081773214,0.0038476659557211326,0.010039657354354858,0.02041456289589405
7,2,drug_protein | drug_protein,0.010148719884455204,,0.010148719884455204,0.010148719884455204
7,2,drug_protein | protein_protein,0.017860518768429756,,0.017860518768429756,0.017860518768429756
7,2,indication | contraindication,0.025621838867664337,,0.025621838867664337,0.025621838867664337
8,1,contraindication,0.021881757067962433,0.017595196742351146,0.0086950259283185,0.09555515646934509
8,1,drug_drug,0.015444106300069827,0.0010121127375347261,0.012263539247214794,0.017414039000868797
8,1,drug_protein,0.016819625278003514,0.009630549960398506,0.003235048148781061,0.025776734575629234
8,1,indication,0.020735917147248983,0.008392212645404898,0.014801726676523685,0.02667010761797428
8,2,drug_drug | drug_drug,0.015662360936403275,1.135330731762208e-06,0.015661558136343956,0.015663163736462593
8,2,drug_protein | disease_protein,0.013204647228121758,0.0035275420393898593,0.009120926260948181,0.01880045421421528
8,2,drug_protein | drug_protein,0.013307482935488224,0.0037741778442546823,0.010638736188411713,0.015976229682564735
8,2,drug_protein | protein_protein,0.017034363001585007,,0.017034363001585007,0.017034363001585007
8,2,indication | contraindication,0.024818478152155876,,0.024818478152155876,0.024818478152155876
9,1,contraindication,0.01891570072621107,0.00820994535157562,0.009075595997273922,0.058212362229824066
9,1,drug_drug,0.015340464659744785,0.0011054430231554196,0.012085584923624992,0.01719481125473976
9,1,drug_protein,0.02722572845717271,0.01090128116604641,0.01816624589264393,0.03932397440075874
9,1,indication,0.020500652492046356,0.005769171259648516,0.016421232372522354,0.02458007261157036
9,2,contraindication | contraindication,0.01605401560664177,,0.01605401560664177,0.01605401560664177
9,2,drug_drug | drug_drug,0.015695497393608093,1.137964909794139e-06,0.015694692730903625,0.01569630205631256
9,2,drug_protein | disease_protein,0.013451710964242617,0.0021551638652116062,0.010755361057817936,0.016077963635325432
9,2,drug_protein | drug_protein,0.013118402101099491,0.0040185874187693565,0.010276831686496735,0.015959972515702248
9,2,drug_protein | protein_protein,0.016232453286647797,,0.016232453286647797,0.016232453286647797
9,2,indication | contraindication,0.025812888517975807,,0.025812888517975807,0.025812888517975807
10,1,contraindication,0.02100679306163182,0.016036422228086666,0.0075491503812372684,0.0824020579457283
